showdate,movieid,name,daily_boxoffice,daily_boxoffice_y,show_rate,show_rate_y,total_box_y,type_today,type_yesterday,cartoon,release_day,real_time_box_office
2016/1/1,247300,唐人街探案,11428.8,9202.11,28.19,28.8,25949.9,2.221493022,0.927358982,0,2,3169.6
2016/1/1,246211,老炮儿,8607.15,6512.3,17.8,19.4,25949.9,2.221493022,0.927358982,0,9,2679.3
2016/1/1,342758,一念天堂,2176.32,3136.6,13.05,20.4,25949.9,2.221493022,0.927358982,0,2,590.7
2016/1/1,78701,寻龙诀,7337.9,5012.18,12.76,15.2,25949.9,2.221493022,0.927358982,0,15,1592.6
2016/1/1,246581,恶棍天使,1652.06,1602.81,5.94,10.8,25949.9,2.221493022,0.927358982,0,9,392
2016/1/1,336731,索命暹罗之按摩师,36.44,79.97,0.83,1.4,25949.9,2.221493022,0.927358982,0,2,16.7
2016/1/1,344687,分手再说我爱你,73.52,71.07,0.29,0.4,25949.9,2.221493022,0.927358982,0,9,20.2
2016/1/1,248213,万万没想到,31.23,37.29,0.24,0.8,25949.9,2.221493022,0.927358982,0,15,7.8
2016/1/1,342109,咕噜咕噜美人鱼,21.51,23.68,0.22,0.3,25949.9,2.221493022,0.927358982,0,21,7.6
2016/1/1,343767,诡娃娃,13.44,18.58,0.11,0.2,25949.9,2.221493022,0.927358982,0,15,2.2
2016/1/2,247300,唐人街探案,9861.66,11428.8,27.03,27.3,35095.9,0.9727005,2.221493022,0,3,1856.8
2016/1/2,246211,老炮儿,8555.93,8607.15,20.97,17.8,35095.9,0.9727005,2.221493022,0,10,2916.8
2016/1/2,78701,寻龙诀,6630.57,7337.9,15.59,13.2,35095.9,0.9727005,2.221493022,0,16,1552.1
2016/1/2,247899,小门神,2034.38,2809.29,12.02,11.4,35095.9,0.9727005,2.221493022,0,2,909.4
2016/1/2,342758,一念天堂,1338.39,2176.32,9.24,12.6,35095.9,0.9727005,2.221493022,0,3,360.4
