北京,769,839,1019,940,725,650,600,559,582,539,647,759,649,652,718,653,567,429,392,411,327,249,260,196,359
天津,297,335,406,333,280,257,226,233,244,246,264,297,277,285,315,270,254,208,188,203,167,134,137,178,170
秦皇岛,124,129,141,133,123,123,111,111,117,113,110,133,121,123,121,120,115,98,97,94,93,66,68,92,91
石家庄,232,245,296,283,214,204,192,184,187,210,204,232,212,219,254,237,202,189,162,173,144,131,133,167,157
吉林市,125,136,157,143,115,118,106,104,97,89,107,123,123,127,143,123,115,102,92,100,72,76,66,81,77
哈尔滨,203,213,247,224,185,183,174,178,174,169,187,219,203,208,228,193,191,190,157,155,146,108,119,141,136
大连,186,187,214,195,181,172,160,162,164,160,169,186,172,161,161,160,161,144,141,141,120,94,90,123,125
杭州,386,429,515,477,419,403,328,314,330,355,349,415,373,381,398,377,343,294,263,270,233,156,182,252,234
无锡,188,202,239,216,181,173,160,160,169,175,179,210,192,191,208,199,174,157,149,146,133,124,105,137,136
苏州,315,348,425,378,325,301,261,262,278,264,283,311,283,321,359,320,278,249,213,214,190,150,149,194,188
南京,156,319,368,336,281,264,237,231,241,228,260,301,282,269,286,269,252,220,203,202,164,146,137,184,176
上海,600,636,728,657,564,510,472,447,460,426,491,583,301,511,527,501,480,365,333,340,290,198,223,317,292
武汉,321,341,414,362,310,289,261,262,257,263,288,356,323,334,368,328,302,248,233,233,186,148,169,204,195
长沙,163,272,340,321,253,258,242,229,219,225,251,292,269,273,292,275,246,214,204,200,158,151,156,194,188
绍兴,136,149,164,163,142,141,138,136,144,145,139,144,135,145,145,147,130,124,113,116,96,73,68,111,115
三亚,85,84,85,90,67,89,79,80,68,66,83,84,79,64,83,55,61,54,60,54,51,31,56,54,51
广州,453,480,572,498,419,432,413,396,386,356,397,474,436,450,474,430,403,346,324,327,258,171,197,258,260
珠海,145,149,155,149,138,147,128,140,137,129,140,151,141,141,144,139,129,119,115,112,93,61,69,96,97
香港,126,117,133,121,106,123,118,108,117,98,109,125,121,115,119,116,113,105,90,97,81,43,26,74,62
澳门,44,32,52,39,34,52,50,39,27,41,25,37,37,33,44,42,38,30,34,30,20,3,7,3,1
